chunk_id,gold_raw,n_events,events_norm
TST_0001,<EVENTSEP> Event type: Catastrophe. Trigger: flooding. <EVENTSEP> Event type: Revenge. Trigger: town. <EVENTSEP> Event type: Destroying. Trigger: broke. <EVENTSEP> Event type: Limiting. Trigger: dam. <EVENTSEP> Event type: Recording. Trigger: night. <EVENTSEP> Event type: Response. Trigger: river. <EVENTSEP> Event type: Death. Trigger: death. <EVENTSEP> Event type: Ingestion. Trigger: middle.,8,Catastrophe|flooding ; Revenge|town ; Destroying|broke ; Limiting|dam ; Recording|night ; Response|river ; Death|death ; Ingestion|middle
TST_0002,<EVENTSEP> Event type: Cause_to_amalgamate. Trigger: combined. <EVENTSEP> Event type: Request. Trigger: request. <EVENTSEP> Event type: Presence. Trigger: presence. <EVENTSEP> Event type: Arranging. Trigger: Cambodian. <EVENTSEP> Event type: Defending. Trigger: resistance. <EVENTSEP> Event type: Supply. Trigger: provide. <EVENTSEP> Event type: Becoming_a_member. Trigger: domestic. <EVENTSEP> Event type: Bodily_harm. Trigger: alarmed. <EVENTSEP> Event type: Motion. Trigger: go to. <EVENTSEP> Event type: Causation. Trigger: caused. <EVENTSEP> Event type: Renting. Trigger: Khmer. <EVENTSEP> Event type: Assistance. Trigger: aid.,12,Cause_to_amalgamate|combined ; Request|request ; Presence|presence ; Arranging|cambodian ; Defending|resistance ; Supply|provide ; Becoming_a_member|domestic ; Bodily_harm|alarmed ; Motion|go to ; Causation|caused ; Renting|khmer ; Assistance|aid
TST_0003,<EVENTSEP> Event type: Placing. Trigger: situated. <EVENTSEP> Event type: Know. Trigger: detected. <EVENTSEP> Event type: Cause_to_make_progress. Trigger: developing.,3,Placing|situated ; Know|detected ; Cause_to_make_progress|developing
TST_0004,<EVENTSEP> Event type: Reforming_a_system. Trigger: advantage. <EVENTSEP> Event type: Preventing_or_letting. Trigger: far. <EVENTSEP> Event type: Creating. Trigger: took. <EVENTSEP> Event type: Institutionalization. Trigger: storm. <EVENTSEP> Event type: Ratification. Trigger: large. <EVENTSEP> Event type: Creating. Trigger: generated. <EVENTSEP> Event type: Death. Trigger: drowned. <EVENTSEP> Event type: Hiding_objects. Trigger: abnormally. <EVENTSEP> Event type: Arriving. Trigger: surfers.,9,Reforming_a_system|advantage ; Preventing_or_letting|far ; Creating|took ; Institutionalization|storm ; Ratification|large ; Creating|generated ; Death|drowned ; Hiding_objects|abnormally ; Arriving|surfers
TST_0005,<EVENTSEP> Event type: Supporting. Trigger: back. <EVENTSEP> Event type: Hostile_encounter. Trigger: conflict. <EVENTSEP> Event type: Hostile_encounter. Trigger: conflict.,3,Supporting|back ; Hostile_encounter|conflict ; Hostile_encounter|conflict
TST_0006,<EVENTSEP> Event type: Supporting. Trigger: aguinaldo. <EVENTSEP> Event type: Hold. Trigger: seized.,2,Supporting|aguinaldo ; Hold|seized
TST_0007,<EVENTSEP> Event type: Statement. Trigger: claimed. <EVENTSEP> Event type: Placing. Trigger: Taliban. <EVENTSEP> Event type: Attack. Trigger: attack. <EVENTSEP> Event type: Hostile_encounter. Trigger: Afghanistan.,4,Statement|claimed ; Placing|taliban ; Attack|attack ; Hostile_encounter|afghanistan
TST_0008,<EVENTSEP> Event type: Come_together. Trigger: gathered. <EVENTSEP> Event type: Telling. Trigger: suicide. <EVENTSEP> Event type: Adducing. Trigger: explosion. <EVENTSEP> Event type: Damaging. Trigger: set off.,4,Come_together|gathered ; Telling|suicide ; Adducing|explosion ; Damaging|set off
TST_0009,<EVENTSEP> Event type: Preserving. Trigger: maintained. <EVENTSEP> Event type: Action. Trigger: century. <EVENTSEP> Event type: Change_event_time. Trigger: 20th.,3,Preserving|maintained ; Action|century ; Change_event_time|20th
TST_0010,<EVENTSEP> Event type: Removing. Trigger: theaters. <EVENTSEP> Event type: Suspicion. Trigger: aqua. <EVENTSEP> Event type: Exchange. Trigger: movie. <EVENTSEP> Event type: Receiving. Trigger: film. <EVENTSEP> Event type: Being_in_operation. Trigger: force. <EVENTSEP> Event type: Change_sentiment. Trigger: massachusetts. <EVENTSEP> Event type: Carry_goods. Trigger: somerville. <EVENTSEP> Event type: Carry_goods. Trigger: marketing.,8,Removing|theaters ; Suspicion|aqua ; Exchange|movie ; Receiving|film ; Being_in_operation|force ; Change_sentiment|massachusetts ; Carry_goods|somerville ; Carry_goods|marketing
