chunk_id,prompt
TST_0001,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""A dam broke along the river, flooding the town of Chokwe in the middle of the night and trapping several unprepared residents; this accounted for nearly half of the death toll.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0002,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""Their presence was at first tolerated by Prince Sihanouk, the Cambodian head of state, but domestic resistance combined with China and North Vietnam continuing to provide aid to the anti-government Khmer Rouge alarmed Sihanouk and caused him to go to Moscow to request the Soviets rein in the behavior of North Vietnam.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0003,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The developing cyclone was first detected on April 3, while situated well to the northeast of Vanuatu.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0004,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The storm's large fetch generated enormous swells as far away as Australia's Eastern Seaboard, where surfers took advantage of the abnormally intense conditions and two swimmers drowned.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0005,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The origins to the conflict can be traced back to Jewish immigration and sectarian conflict in Mandatory Palestine between Jews and Arabs.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0006,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""At the onset of the coup, the rebels seized Villamor Airbase, Fort Bonifacio, Sangley Airbase, Mactan Airbase in Cebu, and portions of Camp Aguinaldo.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0007,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The 2008 Kabul Serena Hotel attack was an attack on the gym of the Kabul Serena Hotel, in Kabul, Afghanistan on January 14, 2008 for which the Taliban claimed responsibility.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0008,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""After a crowd gathered in the area, a teen-aged suicide bomber on a motorcycle set off a second explosion, killing many people on the spot.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0009,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""Southern state legislatures had passed and maintained a series of discriminatory requirements and practices that had disenfranchised most of the millions of African Americans across the South throughout the 20th century.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0010,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""Placed throughout Boston, Massachusetts, and the surrounding cities of Cambridge and Somerville, these devices were part of a guerrilla marketing advertising campaign for \""Aqua Teen Hunger Force Colon Movie Film for Theaters\"", a film based on \""Aqua Teen Hunger Force\"".\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0011,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The site of the massacre has been identified as the present-day Suicide Bay, facing the island outcrops known as The Doughboys.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
